E_WND_N_NM_0_SW,E_WND_N_NM_1_SW,E_WND_N_NM_2_SW,E_WND_N_NM_3_SW,E_WND_N_NM_4_SW,E_WND_N_UT_0_SW,E_WND_N_UT_1_SW,E_WND_N_UT_2_SW,E_WND_N_UT_3_SW,E_WND_N_UT_4_SW,E_WND_N_NV_0_SW,E_WND_N_NV_1_SW,E_WND_N_NV_2_SW,E_WND_N_NV_3_SW,E_WND_N_NV_4_SW,E_WND_N_CO_0_SW,E_WND_N_CO_1_SW,E_WND_N_CO_2_SW,E_WND_N_CO_3_SW,E_WND_N_CO_4_SW,E_WND_N_AZ_0_SW,E_WND_N_AZ_1_SW,E_WND_N_AZ_2_SW,E_WND_N_AZ_3_SW,E_WND_N_AZ_4_SW,E_SOLPVCEN_N_NV_0_SW,E_SOLPVCEN_N_NV_1_SW,E_SOLPVCEN_N_NV_2_SW,E_SOLPVCEN_N_NV_3_SW,E_SOLPVCEN_N_NV_4_SW,E_SOLPVCEN_N_UT_0_SW,E_SOLPVCEN_N_UT_1_SW,E_SOLPVCEN_N_UT_2_SW,E_SOLPVCEN_N_UT_3_SW,E_SOLPVCEN_N_UT_4_SW,E_SOLPVCEN_N_NM_0_SW,E_SOLPVCEN_N_NM_1_SW,E_SOLPVCEN_N_NM_2_SW,E_SOLPVCEN_N_NM_3_SW,E_SOLPVCEN_N_NM_4_SW,E_SOLPVCEN_N_AZ_0_SW,E_SOLPVCEN_N_AZ_1_SW,E_SOLPVCEN_N_AZ_2_SW,E_SOLPVCEN_N_AZ_3_SW,E_SOLPVCEN_N_AZ_4_SW,E_SOLPVCEN_N_CO_0_SW,E_SOLPVCEN_N_CO_1_SW,E_SOLPVCEN_N_CO_2_SW,E_SOLPVCEN_N_CO_3_SW,E_SOLPVCEN_N_CO_4_SW,SW_med_bl_0_100,SW_med_bl_20_80,SW_med_bl_40_60,SW_med_bl_50_50,SW_med_bl_60_40,SW_med_bl_80_20,SW_med_bl_100_0,SW_mn_bl_0_100,SW_mn_bl_20_80,SW_mn_bl_40_60,SW_mn_bl_50_50,SW_mn_bl_60_40,SW_mn_bl_80_20,SW_mn_bl_100_0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0
