CEN_bl_0_100,CEN_bl_10_90,CEN_bl_20_80,CEN_bl_30_70,CEN_bl_40_60,CEN_bl_50_50,CEN_bl_60_40,CEN_bl_70_30,CEN_bl_80_20,CEN_bl_90_10,CEN_bl_100_0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0
